,Match Data,Team 1 name,Team 2 name,Venue(stadium_name),Top Scorer,Top score,Match_result
0,"14th April, 2024",Cambodia,Oman,"Al Amerat Cricket Ground Ministry Turf 2, Al Amerat",Naseem Khushi,69,Oman won by 63 runs
1,"14th April, 2024",Jersey,Spain,"La Manga Club Top Ground, Cartagena",Patrick Gouge,52,Spain won by 5 wickets with 2 balls remaining
2,"14th April, 2024",Hong Kong,Saudi Arabia,"Al Amerat Cricket Ground Ministry Turf 2, Al Amerat",Abdul Waheed,77,Saudi Arabia won by 55 runs
3,"14th April, 2024",Jersey,Spain,"La Manga Club Top Ground, Cartagena",Patrick Gouge,48,Spain won by 1 wicket with 1 ball remaining
4,"14th April, 2024",Costa Rica,Mexico,"Los Reyes Polo Club, Guacima",Seetharam Guruvayoorappan,20,Mexico won by 58 runs
5,"15th April, 2024",Hong Kong,Nepal,"Al Amerat Cricket Ground Ministry Turf 1, Al Amarat",Aasif Sheikh†,40,Nepal won by 8 wickets with 34 balls remaining
6,"15th April, 2024",Malaysia,Qatar,"Al Amerat Cricket Ground Ministry Turf 2, Al Amerat",Ahmed Faiz,38,Qatar won by 4 wickets with 4 balls remaining
7,"15th April, 2024",United Arab Emirates,Oman,"Al Amerat Cricket Ground Ministry Turf 1, Al Amarat",Asif Khan,66,Oman won by 9 wickets with 14 balls remaining
8,"15th April, 2024",Bahrain,Kuwait,"Al Amerat Cricket Ground Ministry Turf 2, Al Amerat",Meet Bhavsar,54,Kuwait won by 26 runs
9,"16th April, 2024",Saudi Arabia,Qatar,"Al Amerat Cricket Ground Ministry Turf 1, Al Amarat",Waji Ul Hassan,57,Qatar won by 15 runs
10,"16th April, 2024",Cambodia,Bahrain,"Al Amerat Cricket Ground Ministry Turf 1, Al Amarat",Haider Ali*,39,Bahrain won by 7 wickets with 41 balls remaining
